Beta,Gamma,Rho,k,Eta,N,loglik,loglik.se
3.200825630109327,1.6663504579717234,0.049987836220807325,4.575456229169664,0.6161850412564075,37999.99999999996,-103.46926623869403,0.03116228112644541
10.078228835944929,0.8186497471614476,0.15503234198177898,4.577238412915339,0.1298630251222565,38000.00000000004,-103.46985317928063,0.038564083186746145
3.852105100603078,1.8021727526496611,0.06003040858816908,4.634179951482631,0.5397848278981051,38000.00000000002,-103.4699412396489,0.04265154649190705
11.958594619267503,0.718248113409376,0.1819279341533311,4.271495746781982,0.10084850165847306,37999.99999999996,-103.46999222992297,0.028492053680538563
8.217445276222191,0.9569388420161405,0.1260536666474735,4.685521094819278,0.1721355309954551,37999.99999999998,-103.47075932367497,0.05605866421794262
7.049653135233357,0.9826426287498085,0.1101625021145628,4.425214800083083,0.20112731643308648,38000.00000000001,-103.47128218791751,0.03385956368701022
10.867107507522304,0.7459986418984427,0.169419916406828,4.394427694980535,0.11322713387501031,38000.00000000001,-103.4713826844477,0.03982255568379563
5.317979602398819,1.3184569868190679,0.08307313530916545,4.274598327076358,0.32070864743045785,38000.00000000002,-103.47200210587158,0.05504784805963979
8.735162204479382,0.8726841311821941,0.13318566723955963,4.220519031313054,0.15377484423920654,37999.99999999997,-103.47299293763506,0.03206817952992929
3.190363942503223,1.8206821387493317,0.050153887613452394,4.401492896415104,0.6563529074534293,38000.00000000002,-103.47313074133648,0.02518421166096945
3.1204621287773358,1.8008746357869911,0.04965819893646835,4.522278809989096,0.663944360996773,38000,-103.47356391765624,0.033306645073286116
2.5026370494403856,1.8695256321896803,0.03940769564105721,4.916646414175768,0.8457924233441865,38000.000000000044,-103.47364390560635,0.04599307694746467
3.3813667011692745,1.5142943976262424,0.05239116915966419,4.153526829559034,0.548712907078965,37999.99999999998,-103.47420826063734,0.038080010269623675
8.64842205720033,0.9341256072937049,0.1334534709900822,5.3478801150649264,0.16138810608006232,37999.999999999935,-103.47421641299549,0.04465551797568837
3.8025129372070094,1.4580607441940492,0.06074634589730576,4.931723231945316,0.4728667915935764,37999.99999999993,-103.47457245103134,0.05590766507382361
10.135649112453915,0.795529479054161,0.15860084523838297,4.210506597770296,0.12617408688555612,38000.00000000003,-103.47476004760388,0.046502159570959066
