Beta,Sigma,Gamma,Rho,k,Eta,N,loglik,loglik.se
18.34849960381587,3.5802983846081244,1.4015209151579735,0.1999999999999892,10.000000000000016,0.11033490878421152,37999.99999999995,-103.6433440229538,0.0446182698128308
19.798353457459513,3.096301634182727,1.5000000000000016,0.19999999999998935,10.000000000000025,0.10897885364167081,37999.999999999935,-103.64365883416471,0.033986123479756915
23.893995281881914,2.1453811508288516,1.6895159586702535,0.19999999999998952,10.00000000000003,0.1032421127552872,37999.99999999994,-103.64463793217465,0.02682541633431421
21.889374146022877,2.207643273777785,2,0.17271981854019894,9.999999999999998,0.12561616161616249,38000.00000000002,-103.64522953083168,0.03917371446762621
22.225024963681083,2.019469694538232,1.3000000000000083,0.19999999999998966,10.000000000000036,0.09482882586265377,37999.99999999993,-103.64729228962071,0.03746499312586712
25.002085129282076,2.0071659290070865,2,0.18887770250622016,9.999999999999991,0.11149004065852988,38000,-103.64746612407174,0.03093252834131042
25.224332294479098,2.352243527659114,2,0.2061393872789773,10.000000000000009,0.10750055565817504,38000,-103.6477220213796,0.03495172426379202
21.20189587492425,2.415696053356177,1.5000000000000013,0.19999999999998946,10.000000000000034,0.10324041742311132,37999.99999999991,-103.64774195469765,0.02994397230919022
19.41434601834173,2.692129263679001,2,0.17151045802963724,9.999999999999996,0.13648655443040275,37999.999999999985,-103.64791810191696,0.02534826300646452
29.17044297759297,1.833025647963477,2,0.2155405565911698,10.000000000000002,0.09685858585857884,37999.99999999999,-103.6489362789166,0.03120116316221256
21.87790299456099,2.2725191075608726,1.3774950640315735,0.19999999999998955,10.000000000000025,0.09862808322106675,37999.999999999935,-103.649015208927,0.01855637962179142
20.506769647301436,2.555224842144799,2,0.17570161609366527,9.999999999999991,0.13071949354921503,37999.99999999996,-103.6495196885359,0.05775223551387172
20.041944303694,2.934011556899937,1.375679281970065,0.19999999999998963,10.000000000000025,0.10231509669670986,37999.99999999994,-103.64962966561944,0.04432020291117501
19.58520382390292,2.894858609136015,1.4016845242757003,0.19999999999998955,10.000000000000036,0.10584612024483976,37999.99999999991,-103.64982873684144,0.0436336213989238
25.599364206960185,1.9972694419882222,1.9000000000000936,0.19999999999998944,10.000000000000027,0.10510399575513611,37999.999999999935,-103.65065574296263,0.03256422878441699
27.520961534979637,2.093609737372423,2,0.21760784626021287,9.999999999999998,0.10053444725429714,37999.999999999985,-103.65177341060009,0.03038894527708881
14.771856229266826,3.6518169212832974,2,0.13827403021763462,9.999999999999998,0.17354545454544804,37999.99999999999,-103.65231428354711,0.02147794255165457
20.244850100171455,2.748019373588601,1.4000000000000927,0.1999999999999894,10.00000000000003,0.10197527819653163,37999.99999999991,-103.65238067273208,0.030939861117524683
20.16174874195785,2.6472092872178328,1.23641288302383,0.19999999999999005,10.000000000000044,0.09684777416331364,37999.99999999987,-103.65273659112955,0.03518905910227323
20.268641028070896,3.006983035856636,1.5999999999999144,0.1999999999999893,10.000000000000025,0.1105053670047265,37999.99999999995,-103.65392681520562,0.02422802025727503
25.863299683482214,2.184362210097195,2,0.2031544533333143,10.000000000000002,0.10644444444445413,38000.00000000003,-103.6542007185457,0.0378740814985709
24.002794840731873,2.284725559096256,2,0.19432996450667783,10.000000000000004,0.11299854165279302,38000.00000000005,-103.65465188078976,0.03385412223191545
34.339722916496505,1.801414000425017,2,0.25395858734072724,9.999999999999998,0.08268884377705664,37999.99999999999,-103.65522162785932,0.03195448523493244
22.047250619603744,2.553015198861407,1.6178616068632865,0.19999999999998924,10.000000000000028,0.10575913300434908,37999.99999999993,-103.65531417994802,0.0267987590915508
13.227046070790694,3.754385712181297,2,0.12634519834197216,10.000000000000002,0.19271717171718103,38000.00000000001,-103.65534075819014,0.03364902449086247
28.03139639985526,1.847427081748254,2,0.20609281896243992,9.999999999999996,0.1007839203644033,37999.99999999998,-103.65552693190794,0.03560738897125578
22.029411148889825,2.180112314638036,1.317585033148167,0.19999999999998963,10.000000000000036,0.09572287355831512,37999.99999999996,-103.6558400393432,0.04362732520639595
21.19357567922473,2.5844038500099806,1.366825897481815,0.19999999999998969,10.000000000000025,0.09788070251180143,37999.99999999992,-103.65609120542884,0.0464227183505836
24.35516994199884,1.9265611493328552,2,0.1830316308067633,9.99999999999995,0.11508290082747938,37999.99999999986,-103.65644175435276,0.04387078771160994
26.78884783309247,1.9858753715216373,2,0.2013305737538723,9.999999999999996,0.1050913435421635,37999.999999999985,-103.65645137684604,0.04877271839995895
27.863001816880463,2.086808468847254,2,0.2216875127489042,9.999999999999998,0.098744285555858,37999.99999999999,-103.65750981787056,0.03531826405637772
28.599837189851325,1.886455555532605,2,0.21180649006881547,10.000000000000002,0.09831662204092025,38000.00000000002,-103.65767640733488,0.03596791837413324
23.353977695137228,2.0755070368219957,2,0.18303163080675036,10,0.11758612927105694,38000.000000000015,-103.65795064745096,0.02573802573065144
23.82816171863394,2.41164159680204,2.099999999999916,0.19999999999998913,10.000000000000018,0.11650798169789825,37999.99999999998,-103.6582468861478,0.02757024557635869
21.35951447423209,2.5921095562199055,2,0.18119805558023655,10.000000000000002,0.12561616161616238,38000.00000000001,-103.65846426476575,0.02976791982238374
23.944014115051356,2.2257129087516896,2,0.1911585837268268,10,0.11379166555568462,37999.99999999995,-103.65913120007328,0.03687178623161927
17.50678418403567,4.059811343709912,1.1643086657030628,0.19999999999998969,10.000000000000032,0.10184534139210152,37999.99999999991,-103.65957327339162,0.04058487615899039
13.37052383853644,3.751752701166235,2,0.12844239618832928,9.999999999999991,0.19060130875355097,38000.00000000001,-103.66026761126264,0.03164992282888039
20.96839719293808,2.556530925147844,2,0.18229061612450984,9.999999999999934,0.1271804932427133,37999.99999999992,-103.660600908994,0.03954099769406576
23.133195234137997,2.3940394860338707,2,0.19109729632402023,10,0.11603030303030858,38000,-103.66063966578562,0.04193161219752402
21.74669589882357,2.3064267006308916,2,0.175701616093677,10.000000000000004,0.12561616161616262,38000.00000000001,-103.6611637848148,0.03783033151941405
21.55727352264584,2.8054016561011386,1.6529738970861607,0.19999999999998944,10.000000000000028,0.10867990146869132,37999.99999999995,-103.66117577595004,0.04825738183235352
25.8269141422592,1.9893136641920046,1.9000000000000936,0.19999999999998921,10.000000000000028,0.10438193752993923,37999.99999999994,-103.66125063452324,0.04122214445410162
18.12509459655816,2.9359669106207416,2,0.16096355302536045,10.000000000000009,0.1443642854473304,37999.99999999998,-103.66161711238306,0.02244983330790022
21.854110610177564,2.18989250554136,1.3862606479382484,0.19999999999998988,10.000000000000036,0.0982312619935139,37999.99999999992,-103.66210866122248,0.03634911275744369
25.89099781302888,1.9266602631364316,2,0.19693303207078497,9.999999999999972,0.10802230918200643,37999.99999999979,-103.6629999637378,0.04982736560678878
18.236690559603854,4.011789337092262,1.300000000000012,0.1999999999999895,10.00000000000003,0.10494570330491622,37999.99999999993,-103.66310423856648,0.03255850577602917
33.51784882482469,1.7110163757926136,2,0.23646666940696945,9.99999999999998,0.08566267885922606,37999.999999999935,-103.6631105872577,0.03415182422765667
21.206598398147744,2.6204052319769255,2,0.18321662553944823,10.000000000000014,0.1248870483988113,38000.000000000065,-103.66323365059472,0.03650385497463646
19.627256610899188,3.0232066570253275,1.5000000000000004,0.19999999999998935,10.00000000000003,0.10920314114443763,37999.99999999995,-103.66398246663248,0.03509092734496952
18.425979435557736,3.33418081714553,1.1768642592788707,0.19999999999998985,10.000000000000032,0.10008153549566684,37999.99999999993,-103.66415847518805,0.05344255319882922
23.137981162977336,2.3147297669180125,2,0.1872526185506573,10.000000000000002,0.11715363147114163,37999.999999999905,-103.66508022218152,0.03239641340867911
20.13255857099116,2.801713636801643,1.4000000000000936,0.1999999999999895,10.000000000000034,0.10323323391561326,37999.999999999935,-103.66510856119808,0.026597021713393697
22.19039117169117,2.6862931981681815,1.7203899559946831,0.19999999999998924,10.00000000000002,0.10816910152824434,37999.99999999994,-103.66594642651164,0.02807387292491282
21.01142223399172,3.0781278477023313,1.7409246214945424,0.1999999999999893,10.00000000000002,0.11231873053466014,37999.99999999994,-103.6665262344768,0.03817660342278514
18.920338957366372,2.7466200742151003,2,0.16982113276288188,10.000000000000004,0.13916784634303378,37999.99999999996,-103.66689662421616,0.02811075670547198
22.34071803313625,2.680994158353768,1.8000000000001763,0.1999999999999892,10.000000000000023,0.11013215382606312,37999.999999999935,-103.66738623383857,0.03633580704002097
32.20580029285008,1.9236248320585303,2,0.246561026937178,9.99999999999998,0.0865905728951391,37999.99999999992,-103.66751215577152,0.02265936453856441
17.23783666026979,3.0773814903652905,2,0.15891941073440008,10.000000000000009,0.1504659506869463,38000.00000000004,-103.66777278106684,0.03601993320808948
20.951340487666464,2.1829120092899603,2,0.16839006221919275,9.99999999999999,0.13052937224423294,38000.00000000008,-103.6684094815752,0.02646186174772323
21.670328987906178,2.5342722399263455,1.6999999999998294,0.19999999999998938,10.00000000000003,0.11031097682017256,37999.999999999935,-103.66859099822553,0.02594648011914394
19.957344211205395,2.7888481030650594,1.2552099860019938,0.19999999999998963,10.000000000000028,0.09704837120672904,37999.99999999994,-103.66861661074452,0.02396523053238564
25.637096204928127,2.2572782598282704,2,0.2043296595669611,10.000000000000004,0.10727801943187848,38000.00000000002,-103.66902070970184,0.02386549708286777
19.997825339398865,2.4108568729528876,2,0.16930380449355992,9.999999999999996,0.13520202020201505,37999.99999999997,-103.6690259982178,0.03324218861991109
22.603428318576658,2.0542337383553444,1.363342055213253,0.1999999999999899,10.000000000000034,0.09513399391835337,37999.9999999999,-103.66926881916396,0.02754695485538231
20.461147616428264,2.9702728752919567,1.3786606851847885,0.1999999999999896,10.000000000000032,0.1018334246735574,37999.99999999992,-103.66931512358732,0.03272894704156497
27.24945045636801,2.040420984307182,2,0.21886570546440795,9.99999999999998,0.10052235550586534,37999.99999999991,-103.66938943633248,0.04163488679537729
29.12454523314415,1.7849629228916968,2,0.21318191258543212,10.000000000000004,0.09685858585857891,37999.999999999985,-103.67007130631993,0.0358568314509242
17.25762481501096,3.1489450335762266,2,0.1588642876727382,9.999999999999996,0.14980433399334672,37999.99999999999,-103.670090276378,0.03173575086160309
19.734102726908606,2.676519466049178,2,0.16591859946902754,9.999999999999998,0.13520202020201513,37999.99999999999,-103.67016439720332,0.04416814423113537
23.11812460722008,2.6569635347562057,1.843223974104974,0.1999999999999894,10.000000000000025,0.10983548952083674,37999.99999999998,-103.6705419965637,0.02195782087779601
26.015665345221485,1.9858478707185463,2,0.20065568343979184,10.000000000000034,0.10638726914039769,38000.00000000012,-103.67088819129702,0.03286074284149932
27.84533480623471,2.005411773864837,2,0.21318191258543356,9.999999999999996,0.0999603688208174,38000.00000000003,-103.67146884861484,0.04072330913165808
27.80009971308293,1.9805902102203743,2,0.21722810136029688,9.999999999999991,0.09935984515772346,38000.00000000002,-103.67205990445582,0.0181681945777455
21.829028948695008,2.8981469178702013,1.807049584851626,0.19999999999998927,10.000000000000028,0.1126623913060288,37999.999999999905,-103.6721774362342,0.04838539487917667
16.088540456234973,3.013747503452082,2,0.1457452536720189,10.000000000000016,0.16087419716812587,38000.0000000001,-103.67261899746806,0.03561010811008233
19.215030236654354,3.099171542185249,1.2979017386295355,0.1999999999999896,10.000000000000028,0.1023840560772672,37999.999999999935,-103.67267358868,0.04012040349687866
19.97387455378379,2.492374456098081,2,0.16609900321180066,10.000000000000004,0.13424341951623142,38000.00000000002,-103.67367248299968,0.03438964983574324
22.27577229003718,2.5786611755235698,1.699999999999829,0.19999999999998924,10.000000000000027,0.10853618003249406,37999.99999999995,-103.67384962983367,0.04413122060591387
25.074994191729303,1.9777775251013592,2,0.19045812505678048,9.99999999999999,0.11146154979804296,37999.99999999988,-103.67387829404213,0.01486997658880177
23.626954696143365,2.1527416953399423,2,0.1851901796387533,9.999999999999991,0.11603030303030858,37999.999999999985,-103.6743594517538,0.03337788291761361
24.924230956087424,2.3074986727163806,1.921609833184976,0.19999999999998935,10.00000000000002,0.10790158937676313,37999.99999999995,-103.67443556754296,0.03011624664507859
26.055857033863298,2.0441873730161837,2,0.19956805434886649,9.999999999999998,0.10644444444445406,38000.00000000001,-103.67447844899236,0.03594414840640314
19.97935425577304,2.925627175318532,2,0.17385876181652102,10.000000000000025,0.1316771811421756,38000.00000000005,-103.67491672654712,0.03639461871374331
32.965802949733394,1.9094302744311007,2,0.24775730509272711,10.000000000000046,0.08531072554338798,38000.00000000004,-103.67492162795584,0.04981974690758593
18.15800706010167,2.832969035048687,2,0.1638097570365207,9.999999999999991,0.14478787878787525,37999.99999999999,-103.6749577267785,0.03816961173533369
24.574694782374685,2.146449350254149,2,0.19999999999998921,10.000000000000018,0.11037543222489254,37999.99999999994,-103.67496062966731,0.040006835171810466
22.236340885955297,2.426753100867819,1.5000000000000013,0.1999999999999894,10.000000000000032,0.09994814009989177,37999.99999999991,-103.67515105678025,0.044391905737350065
25.2649452323897,2.3562392492355166,2,0.20834940598779517,10,0.10666113017021138,37999.999999999985,-103.67524308284196,0.03329160036007599
24.575643352756774,1.9662527893808919,1.69999999999983,0.19999999999998944,10.000000000000028,0.10204790468069899,37999.99999999993,-103.6753532846623,0.041099505618114186
21.819968803700124,2.31755228080269,1.4240095144954774,0.19999999999998977,10.00000000000003,0.10019881328863244,37999.999999999935,-103.67542316041686,0.02735868583786651
25.95481129058675,2.137398311462652,2,0.20592558174901612,10,0.10515610036759793,38000,-103.67580997301738,0.04266020314202345
24.332638790142443,2.3413294379551073,1.9000000000000932,0.19999999999998916,10.000000000000025,0.10882331593680826,37999.999999999935,-103.67600466681078,0.03352352207025936
21.51095853786224,2.563165980489244,2,0.17947513935712436,9.999999999999996,0.12462025409285292,38000,-103.6762999491177,0.03139051198674253
22.29799561267944,2.2807942217424264,1.5880883327801727,0.1999999999999896,10.000000000000028,0.10533399590331824,37999.99999999993,-103.67633025283112,0.03920422416690537
32.58705077755254,1.879780681414552,2,0.2383114859526697,9.999999999999986,0.08727272727271837,38000.000000000015,-103.67661502653957,0.02709022537380316
23.94519760980809,2.0316301382519133,2,0.1879967709924874,9.999999999999988,0.11528021491074653,37999.99999999981,-103.67694260170926,0.0404953175041186
20.310060009109463,2.4525467714931986,1.214946285263558,0.19999999999998985,10.000000000000028,0.09546737447442348,37999.99999999993,-103.67708405492957,0.04648966506752381
22.63707044337093,2.650433564382743,1.8181793039027336,0.1999999999999891,10.00000000000002,0.10962821239141315,37999.999999999935,-103.6771496709472,0.04010380891876662
20.04443855977648,2.557066919712812,1.412764606329763,0.1999999999999898,10.000000000000036,0.10550691581312688,37999.999999999935,-103.67743750989922,0.04618751031087111
21.673104259310062,2.747588591890609,1.9000000000000932,0.19999999999998902,10.000000000000023,0.11731857249886796,37999.99999999992,-103.67756616358437,0.03935787825835028
21.51191080513088,2.5413608235175063,1.4008449865536892,0.19999999999998985,10.000000000000034,0.09823371715572554,37999.999999999935,-103.677582659342,0.04108677234062549
28.498802587249745,2.179813276677198,2,0.22136806638659404,10.000000000000004,0.09648743277713678,38000.00000000005,-103.67774604774566,0.0397933117217369
28.07218546141074,1.897680793973396,2,0.2061393872789893,10,0.10032128196682888,37999.99999999995,-103.6778043687823,0.03376193842228812
17.639629845210298,2.784869558515459,2,0.15537311318377367,9.999999999999996,0.14954385285962213,37999.99999999998,-103.6780047622746,0.03053092516485799
20.557996027746707,2.7222224404265254,1.4604365724650767,0.19999999999998969,10.000000000000034,0.1053240241067362,37999.99999999991,-103.67848452807569,0.0325352362448368
20.996111107704326,2.62783751373692,2,0.18196837742665797,10.000000000000009,0.12730199384010163,38000.00000000001,-103.67866965658476,0.05311670621705989
21.41895538492836,2.2434586251204705,1.2569714519625244,0.1999999999999898,10.00000000000003,0.09416481851917138,37999.99999999993,-103.67872470053406,0.01933684280582726
28.959884840302696,1.9452628405627328,2,0.21722810136029713,9.999999999999996,0.09751958353626686,38000.00000000001,-103.6788625830536,0.02983291494712792
19.577164531649355,3.1842524699365216,1.2841804540340618,0.19999999999998969,10.000000000000036,0.10034301127876127,37999.999999999935,-103.67919427301392,0.02916536412001399
19.556161162115355,2.262991022894312,2,0.1540236821919158,10.000000000000025,0.13981773227782457,38000.00000000012,-103.67940837074842,0.05026011315708471
35.597815854709864,1.647539008265781,2,0.24775730509273736,10.000000000000004,0.08147067848041009,38000.00000000003,-103.67982733356664,0.05328415852385091
24.33310185593749,2.2980625121915392,2.099999999999918,0.19999999999998924,10.000000000000021,0.11406413575465951,37999.999999999935,-103.6805828212019,0.035761653666197955
